NAME                	URL                                                 
jenkins             	https://charts.jenkins.io                           
bitnami             	https://charts.bitnami.com/bitnami                  
ingress-nginx       	https://kubernetes.github.io/ingress-nginx          
fluent              	https://fluent.github.io/helm-charts                
argo                	https://argoproj.github.io/argo-helm                
prometheus-community	https://prometheus-community.github.io/helm-charts  
morremeyer          	https://morremeyer.github.io/charts/                
wiremind            	https://wiremind.github.io/wiremind-helm-charts     
securecodebox       	https://charts.securecodebox.io/                    
aws-ebs-csi-driver  	https://kubernetes-sigs.github.io/aws-ebs-csi-driver
elastic             	https://helm.elastic.co                             
